id,pl_hostname,pl_letter,display_name,description,discovery_date,url,title,feature_title,mass_display,planet_type,st_dist,st_optmag,pl_radj,pl_rade,pl_massj,pl_discmethod,image,list_image,short_description,ranger_feature_id,ranger_system_id,ranger_system,exo_id,subtitle,categories,pl_kepflag,pl_facility,long_description
5430,Kepler-805,b,Kepler-805 b,"Kepler-805 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 8.7 Earths, it takes 30.9 days to complete one orbit of its star, and is 0.1978 AU from its star. Its discovery was announced in 2016.",2016,/exoplanet-catalog/5430/kepler-805-b/,Kepler-805 b,Kepler-805 b,8.7 Earths,Neptune-like,2083.0,12.586,0.258,2.89,0.0274,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-805 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 8.7 Earths, it takes 30.9 days to complete one orbit of its star, and is 0.1978 AU from its star. Its discovery was announced in 2016.",Kepler-805_b,Kepler-805,False,Kepler-805_b,A Neptune-like gas giant planet,[],True,Kepler,
5431,Kepler-806,b,Kepler-806 b,"Kepler-806 b is a super Earth exoplanet that orbits a G-type star. Its mass is 1.55 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.0764 AU from its star. Its discovery was announced in 2016.",2016,/exoplanet-catalog/5431/kepler-806-b/,Kepler-806 b,Kepler-806 b,1.55 Earths,Super Earth,1181.0,11.813,0.102,1.14,0.00489,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-806 b is a super Earth exoplanet that orbits a G-type star. Its mass is 1.55 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.0764 AU from its star. Its discovery was announced in 2016.",Kepler-806_b,Kepler-806,False,Kepler-806_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
5432,Kepler-807,b,Kepler-807 b,"Kepler-807 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.242 Jupiters, it takes 117.9 days to complete one orbit of its star, and is 0.4884 AU from its star. Its discovery was announced in 2016.",2016,/exoplanet-catalog/5432/kepler-807-b/,Kepler-807 b,Kepler-807 b,0.242 Jupiters,Gas Giant,4870.0,15.194,0.93,10.42,0.242,Transit,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"Kepler-807 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.242 Jupiters, it takes 117.9 days to complete one orbit of its star, and is 0.4884 AU from its star. Its discovery was announced in 2016.",Kepler-807_b,Kepler-807,False,Kepler-807_b,A giant planet composed mainly of gas,[],True,Kepler,
5433,Kepler-259,b,Kepler-259 b,"Kepler-259 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.25 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.079 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5433/kepler-259-b/,Kepler-259 b,Kepler-259 b,8.25 Earths,Neptune-like,3269.0,15.378,0.25,2.8,0.0259,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-259 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.25 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.079 AU from its star. Its discovery was announced in 2014.",Kepler-259_b,Kepler-259,False,Kepler-259_b,A Neptune-like gas giant planet,[],True,Kepler,
5434,Kepler-259,c,Kepler-259 c,"Kepler-259 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.75 Earths, it takes 36.9 days to complete one orbit of its star, and is 0.217 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5434/kepler-259-c/,Kepler-259 c,Kepler-259 c,7.75 Earths,Neptune-like,3269.0,15.378,0.241,2.7,0.0244,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-259 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.75 Earths, it takes 36.9 days to complete one orbit of its star, and is 0.217 AU from its star. Its discovery was announced in 2014.",Kepler-259_c,Kepler-259,False,Kepler-259_c,A Neptune-like gas giant planet,[],True,Kepler,
5435,Kepler-260,c,Kepler-260 c,"Kepler-260 c is a super Earth exoplanet that orbits a K-type star. Its mass is 3.68 Earths, it takes 76.1 days to complete one orbit of its star, and is 0.332 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5435/kepler-260-c/,Kepler-260 c,Kepler-260 c,3.68 Earths,Super Earth,2046.0,14.253,0.155,1.74,0.0116,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-260 c is a super Earth exoplanet that orbits a K-type star. Its mass is 3.68 Earths, it takes 76.1 days to complete one orbit of its star, and is 0.332 AU from its star. Its discovery was announced in 2014.",Kepler-260_c,Kepler-260,False,Kepler-260_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
5436,Kepler-261,b,Kepler-261 b,"Kepler-261 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.39 Earths, it takes 10.4 days to complete one orbit of its star, and is 0.088 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5436/kepler-261-b/,Kepler-261 b,Kepler-261 b,5.39 Earths,Neptune-like,1036.0,13.738,0.194,2.18,0.017,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-261 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.39 Earths, it takes 10.4 days to complete one orbit of its star, and is 0.088 AU from its star. Its discovery was announced in 2014.",Kepler-261_b,Kepler-261,False,Kepler-261_b,A Neptune-like gas giant planet,[],True,Kepler,
5437,Kepler-261,c,Kepler-261 c,"Kepler-261 c is a super Earth exoplanet that orbits a K-type star. Its mass is 4.66 Earths, it takes 24.6 days to complete one orbit of its star, and is 0.156 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5437/kepler-261-c/,Kepler-261 c,Kepler-261 c,4.66 Earths,Super Earth,1036.0,13.738,0.178,2.0,0.0147,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-261 c is a super Earth exoplanet that orbits a K-type star. Its mass is 4.66 Earths, it takes 24.6 days to complete one orbit of its star, and is 0.156 AU from its star. Its discovery was announced in 2014.",Kepler-261_c,Kepler-261,False,Kepler-261_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
5438,Kepler-262,c,Kepler-262 c,"Kepler-262 c is a super Earth exoplanet that orbits a G-type star. Its mass is 3.33 Earths, it takes 21.9 days to complete one orbit of its star, and is 0.152 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5438/kepler-262-c/,Kepler-262 c,Kepler-262 c,3.33 Earths,Super Earth,2000.0,14.478,0.146,1.64,0.0105,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-262 c is a super Earth exoplanet that orbits a G-type star. Its mass is 3.33 Earths, it takes 21.9 days to complete one orbit of its star, and is 0.152 AU from its star. Its discovery was announced in 2014.",Kepler-262_c,Kepler-262,False,Kepler-262_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
5439,Kepler-263,b,Kepler-263 b,"Kepler-263 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.61 Earths, it takes 16.6 days to complete one orbit of its star, and is 0.12 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5439/kepler-263-b/,Kepler-263 b,Kepler-263 b,7.61 Earths,Neptune-like,2462.0,15.435,0.238,2.67,0.0239,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-263 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.61 Earths, it takes 16.6 days to complete one orbit of its star, and is 0.12 AU from its star. Its discovery was announced in 2014.",Kepler-263_b,Kepler-263,False,Kepler-263_b,A Neptune-like gas giant planet,[],True,Kepler,
